用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-FUN-001,关闭按钮点击,打开创建帖子页面,1. 点击左上角 X 关闭按钮,"1. 关闭创建帖子页面
2. 返回到上一页",高,无
TC-FUN-002,文本内容输入,打开创建帖子页面,1. 在文本输入框中输入文字,"1. 输入框接受文字输入
2. 文字正常显示",高,无
TC-FUN-003,字数统计更新,打开创建帖子页面,"1. 输入10个文字
2. 观察字数统计",1. 字数统计显示为10/500,高,无
TC-FUN-004,发送帖子,打开创建帖子页面，已输入内容,"1. 点击""发送""按钮","1. 帖子发送成功
2. 跳转到帖子详情或社区动态页面",高,无
TC-FUN-005,空内容发送,打开创建帖子页面，未输入内容,"1. 点击""发送""按钮","1. 提示请输入内容
2. 或无法发送",高,需确认预期行为
TC-FUN-006,添加图片,打开创建帖子页面,1. 添加图片到待发送图片区,"1. 图片显示在待发送图片区
2. 图片预览正常",高,无
TC-FUN-007,删除图片,已添加图片到待发送图片区,1. 删除已添加的图片,1. 图片从待发送图片区移除,高,无
TC-FUN-008,带图片发送帖子,打开创建帖子页面，已输入内容并添加图片,"1. 点击""发送""按钮","1. 帖子发送成功
2. 图片和文字一起发送",高,无
TC-UI-001,页面标题检查,打开创建帖子页面,"1. 检查页面标题
2. 检查标题位置
3. 检查标题字体
4. 检查标题颜色","1. 标题文字为""创建帖子""
2. 标题位于页面顶部居中
3. 标题字体符合设计
4. 标题颜色符合设计",高,无
TC-UI-002,关闭按钮检查,打开创建帖子页面,"1. 检查关闭按钮位置
2. 检查关闭按钮图标
3. 检查关闭按钮尺寸
4. 检查关闭按钮样式","1. 关闭按钮位于页面左上角
2. 关闭按钮图标为 X
3. 关闭按钮尺寸符合设计
4. 关闭按钮样式符合设计",高,无
TC-UI-003,发送按钮检查,打开创建帖子页面,"1. 检查发送按钮位置
2. 检查发送按钮文字
3. 检查发送按钮颜色
4. 检查发送按钮尺寸","1. 发送按钮位于页面右上角
2. 发送按钮文字为""发送""
3. 发送按钮颜色符合设计
4. 发送按钮尺寸符合设计",高,无
TC-UI-004,文本输入框检查,打开创建帖子页面,"1. 检查输入框位置
2. 检查输入框占位符
3. 检查输入框样式
4. 检查输入框尺寸","1. 输入框位于页面上方
2. 占位符文字为""分享你的想法...""
3. 输入框样式符合设计
4. 输入框尺寸符合设计",高,无
