用例ID,模块,接口名称,用例标题,请求方法,请求路径,请求头,请求体,前置条件,测试步骤,预期结果,优先级,备注,结果
OSS-001,OSS相关接口,获取上传地址,正常获取上传地址,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getUploadUrl"",""data"": {""file_name"": ""test.jpg"",""file_size"": 1024000,""mime_type"": ""image/jpeg""}}",已登录,1.发送获取上传地址请求 2.检查返回的upload_url字段,返回code=1，且包含有效的upload_url,高,正常流程,PASS
OSS-002,OSS相关接口,获取上传地址,获取上传地址-文件名缺失,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getUploadUrl"",""data"": {""file_size"": 1024000,""mime_type"": ""image/jpeg""}}",已登录,1.发送不包含file_name的请求 2.检查错误处理,返回错误提示或code不等于1,中,异常流程,PASS
OSS-003,OSS相关接口,获取上传地址,获取上传地址-文件大小为0,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getUploadUrl"",""data"": {""file_name"": ""test.jpg"",""file_size"": 0,""mime_type"": ""image/jpeg""}}",已登录,1.发送file_size为0的请求 2.检查边界值处理,返回错误或拒绝处理,中,边界值,PASS
OSS-004,OSS相关接口,获取上传地址,获取上传地址-非法文件类型,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getUploadUrl"",""data"": {""file_name"": ""test.exe"",""file_size"": 1024000,""mime_type"": ""application/x-executable""}}",已登录,1.发送非法文件类型的请求 2.检查文件类型校验,返回错误或拒绝处理,中,异常流程,PASS
OSS-005,OSS相关接口,标记上传成功,正常标记上传成功,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""markUploadSuccess"",""data"": {""object_key"": ""{{oss_objectKey}}"",""file_name"": ""test.jpg"",""file_size"": 1024000,""mime_type"": ""image/jpeg""}}",已上传文件,1.调用标记上传成功接口 2.检查云空间使用量更新,返回code=1，云空间使用量增加,高,正常流程,PASS
OSS-006,OSS相关接口,标记上传成功,标记上传成功-重复标记,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""markUploadSuccess"",""data"": {""object_key"": ""{{oss_objectKey}}"",""file_name"": ""test.jpg"",""file_size"": 1024000,""mime_type"": ""image/jpeg""}}",已标记上传成功,1.重复调用标记上传成功 2.检查幂等性处理,返回code=1或适当的错误提示,中,异常流程,PASS
OSS-007,OSS相关接口,获取照片列表,正常获取照片列表,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getPhotoList"",""data"": {""page"": 1,""page_size"": 20}}",已登录,1.请求照片列表 2.检查返回数据结构,返回code=1，包含list数组和total字段,高,正常流程,PASS
OSS-008,OSS相关接口,获取照片列表,获取照片列表-分页边界,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getPhotoList"",""data"": {""page"": 1,""page_size"": 50}}",已登录,1.请求每页最大数量50 2.检查分页是否正确,返回正确的分页数据,中,边界值,PASS
OSS-009,OSS相关接口,获取照片列表,获取照片列表-页码超出范围,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getPhotoList"",""data"": {""page"": 99999,""page_size"": 20}}",已登录,1.请求不存在的页码 2.检查空数据返回,返回空list,中,边界值,PASS
OSS-010,OSS相关接口,移动到回收站,正常移动到回收站,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""moveToRecycleBin"",""data"": {""photo_id"": 1}}",存在可删除的照片,1.调用移动到回收站接口 2.检查照片状态变更,返回code=1，照片进入回收站,高,正常流程,PASS
OSS-011,OSS相关接口,移动到回收站,移动到回收站-不存在的照片ID,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""moveToRecycleBin"",""data"": {""photo_id"": 99999}}",无,1.传入不存在的photo_id 2.检查错误处理,返回错误提示,中,异常流程,PASS
OSS-012,OSS相关接口,获取用户云存储空间使用情况,正常获取云空间使用情况,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getStorageUsage""}",已登录,1.请求云空间使用情况 2.检查返回数据,返回code=1，包含used和total字段,高,正常流程,PASS
OSS-013,OSS相关接口,同意云空间使用协议,正常同意协议,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""agreeCloudAgreement""}",已登录,1.提交同意协议请求 2.检查协议状态更新,返回code=1，协议状态更新,中,正常流程,PASS
OSS-014,OSS相关接口,彻底删除,正常彻底删除,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""permanentDelete"",""data"": {""photo_id"": 1}}",照片在回收站中,1.调用彻底删除接口 2.检查文件是否永久删除,返回code=1，文件永久删除,高,正常流程,PASS
OSS-015,OSS相关接口,彻底删除,彻底删除-不在回收站中的文件,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""permanentDelete"",""data"": {""photo_id"": 1}}",文件不在回收站,1.尝试删除不在回收站的文件 2.检查权限校验,返回错误提示,中,异常流程,PASS
OSS-016,OSS相关接口,获取回收站列表,正常获取回收站列表,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getRecycleBinList"",""data"": {""page"": 1,""page_size"": 20}}",存在回收站文件,1.请求回收站列表 2.检查数据结构,返回code=1，包含list数组,高,正常流程,PASS
OSS-017,OSS相关接口,还原回收站素材,正常还原素材,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""restoreFromRecycleBin"",""data"": {""photo_id"": 1}}",照片在回收站中,1.调用还原接口 2.检查文件恢复状态,返回code=1，文件恢复到原位置,高,正常流程,PASS
OSS-018,OSS相关接口,还原回收站素材,还原-不存在的照片ID,POST,/mbServer/oss,"{""Authorization"": ""{{access_token}}""}","{""method"": ""restoreFromRecycleBin"",""data"": {""photo_id"": 99999}}",无,1.传入不存在的photo_id 2.检查错误处理,返回错误提示,中,异常流程,PASS
INSTAX-001,拍立得相关,使用记录上报,正常上报使用记录,POST,/mbServer/instax,"{""Authorization"": ""{{access_token}}""}","{""method"": ""reportUsage"",""data"": {""sn"": ""{{device_sn}}"",""action"": ""print"",""timestamp"": 1234567890}}",设备已连接,1.上报使用记录 2.检查返回状态,返回code=1,高,正常流程,PASS
INSTAX-002,拍立得相关,使用记录上报,上报-无效的SN,POST,/mbServer/instax,"{""Authorization"": ""{{access_token}}""}","{""method"": ""reportUsage"",""data"": {""sn"": ""INVALID_SN"",""action"": ""print"",""timestamp"": 1234567890}}",无,1.使用无效SN上报 2.检查错误处理,返回错误提示,中,异常流程,PASS
INSTAX-003,拍立得相关,获取最新固件版本,正常获取固件版本,POST,/mbServer/instax,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getLatestFirmware"",""data"": {""sn"": ""{{device_sn}}"",""current_version"": ""1.0.0""}}",设备已连接,1.请求固件版本 2.检查返回数据,返回code=1，包含最新版本信息,高,正常流程,PASS
INSTAX-004,拍立得相关,获取最新固件版本,已是最新版本,POST,/mbServer/instax,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getLatestFirmware"",""data"": {""sn"": ""{{device_sn}}"",""current_version"": ""999.999.999""}}",无,1.请求已经是最高版本的情况 2.检查返回,返回code=1，提示已是最新,中,正常流程,PASS
INSTAX-005,拍立得相关,上报相纸信息,正常上报相纸信息,POST,/mbServer/instax,"{""Authorization"": ""{{access_token}}""}","{""method"": ""reportFilmInfo"",""data"": {""sn"": ""{{device_sn}}"",""film_type"": ""instax_mini"",""remaining"": 10}}",设备已连接,1.上报相纸信息 2.检查返回状态,返回code=1,高,正常流程,PASS
INSTAX-006,拍立得相关,上报相纸信息,相纸剩余数量为0,POST,/mbServer/instax,"{""Authorization"": ""{{access_token}}""}","{""method"": ""reportFilmInfo"",""data"": {""sn"": ""{{device_sn}}"",""film_type"": ""instax_mini"",""remaining"": 0}}",设备已连接,1.上报剩余数量为0 2.检查边界值处理,返回code=1，提示相纸不足,中,边界值,PASS
INSTAX-007,拍立得相关,上报相纸信息,相纸剩余数量为负数,POST,/mbServer/instax,"{""Authorization"": ""{{access_token}}""}","{""method"": ""reportFilmInfo"",""data"": {""sn"": ""{{device_sn}}"",""film_type"": ""instax_mini"",""remaining"": -1}}",设备已连接,1.上报负数剩余数量 2.检查数据校验,返回错误提示,低,异常流程,PASS
INSTAX-008,拍立得相关,根据SN获取相纸信息,正常获取相纸信息,POST,/mbServer/instax,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getFilmInfoBySN"",""data"": {""sn"": ""{{device_sn}}""}}",设备已连接,1.根据SN获取相纸信息 2.检查返回数据,返回code=1，包含film_type和remaining,高,正常流程,PASS
REMOTEPRINT-001,远程打印,创建打印上传任务,正常创建打印任务,POST,/mbServer/remotePrint,"{""Authorization"": ""{{access_token}}""}","{""method"": ""createPrintTask"",""data"": {""file_name"": ""photo.jpg"",""file_size"": 1024000,""mime_type"": ""image/jpeg""}}",已登录,1.创建打印上传任务 2.检查返回task_id,返回code=1，包含task_id和upload_url,高,正常流程,PASS
