用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-FUN-001,拍立得标签切换,打开"我的"页面,1. 点击"拍立得"标签,"1. 切换到拍立得标签页
2. 显示拍立得设备信息",高,无
TC-FUN-002,存储设备标签切换,打开"我的"页面,1. 点击"存储设备"标签,"1. 切换到存储设备标签页
2. 显示存储设备信息",高,无
TC-FUN-003,拍立得设备连接状态切换,在拍立得标签页,"1. 观察设备未连接状态
2. 连接设备
3. 观察设备已连接状态","1. 显示""未连接""状态
2. 设备连接成功
3. 显示""已连接""状态，显示电量图标",高,无
TC-FUN-004,存储设备连接状态切换,在存储设备标签页,"1. 观察设备未连接状态
2. 连接设备
3. 观察设备已连接状态","1. 显示""未连接""状态
2. 设备连接成功
3. 显示""已连接""状态，显示信号图标",高,无
TC-FUN-005,云空间点击,在拍立得标签页,1. 点击"云空间",1. 跳转到云空间页面,高,无
TC-FUN-006,本地空间点击,在存储设备标签页,1. 点击"本地空间",1. 跳转到本地空间页面,高,无
TC-FUN-007,备份相册点击,打开"我的"页面,1. 点击"备份相册",1. 跳转到备份相册页面,高,无
TC-FUN-008,设置点击,打开"我的"页面,1. 点击"设置",1. 跳转到设置页面,高,无
TC-FUN-009,用户头像点击,打开"我的"页面,1. 点击用户头像,1. 跳转到个人信息/头像设置页面,中,无
TC-FUN-010,编辑头像按钮点击,打开"我的"页面,1. 点击头像旁的+按钮,1. 跳转到头像编辑/上传页面,中,无
TC-UI-001,用户信息区域检查,打开"我的"页面,"1. 检查用户头像
2. 检查用户昵称
3. 检查账号
4. 检查IP属地","1. 头像显示正确
2. 昵称显示正确
3. 账号显示正确
4. IP属地显示正确",高,无
TC-UI-002,公司介绍文字检查,打开"我的"页面,1. 检查公司介绍文字内容,"1. 介绍文字内容正确
2. 文字格式正确",中,无
TC-UI-003,标签栏检查,打开"我的"页面,"1. 检查""存储设备""标签
2. 检查""拍立得""标签
3. 检查选中状态样式","1. ""存储设备""标签显示正确
2. ""拍立得""标签显示正确
3. 选中状态样式正确",高,无
TC-UI-004,拍立得设备卡片检查,在拍立得标签页,"1. 检查设备图片
2. 检查设备名称
3. 检查设备状态标签","1. 设备图片显示正确
2. 设备名称显示正确
3. 设备状态标签显示正确",高,无
TC-UI-005,存储设备卡片检查,在存储设备标签页,"1. 检查设备图片
2. 检查设备名称
3. 检查设备状态标签","1. 设备图片显示正确
2. 设备名称显示正确
3. 设备状态标签显示正确",高,无
TC-UI-006,拍立得未连接状态检查,在拍立得标签页，设备未连接,"1. 检查状态文字
2. 检查状态颜色
3. 检查设备卡片样式","1. 状态文字为""未连接""
2. 状态颜色符合设计
3. 设备卡片样式符合未连接状态",高,无
TC-UI-007,拍立得已连接状态检查,在拍立得标签页，设备已连接,"1. 检查状态文字
2. 检查状态颜色
3. 检查电量图标
4. 检查设备卡片样式","1. 状态文字为""已连接""
2. 状态颜色符合设计
3. 电量图标显示正确
4. 设备卡片样式符合已连接状态",高,无
