用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-CM-001,页面加载显示测试,用户已登录，网络正常,"1. 访问社区动态页
2. 观察页面加载过程
3. 检查页面元素完整性","1. 页面正常加载，无白屏
2. 所有UI元素按设计显示
3. 加载状态提示正常",高,功能测试
TC-CM-002,顶部标签切换测试-社区动态,进入社区动态页,"1. 点击""社区动态""标签
2. 观察页面变化","1. 标签切换成功
2. 显示社区动态内容",高,功能测试
TC-CM-003,顶部标签切换测试-我的帖子,进入社区动态页,"1. 点击""我的帖子""标签
2. 观察页面变化","1. 标签切换成功
2. 显示用户自己的帖子内容",高,功能测试
TC-CM-004,顶部标签切换测试-我的收藏,进入社区动态页,"1. 点击""我的收藏""标签
2. 观察页面变化","1. 标签切换成功
2. 显示用户收藏的帖子内容",高,功能测试
TC-CM-005,右上角下拉菜单测试,进入社区动态页,"1. 点击右上角下拉箭头
2. 观察菜单展开
3. 再次点击收起菜单","1. 下拉菜单正常展开
2. 显示菜单项
3. 菜单可以正常收起",中,功能测试
TC-CM-006,最新最热切换测试-默认选中最新,进入社区动态页,1. 观察排序按钮状态,"1. ""最新""按钮默认处于选中状态
2. 选中样式符合设计",高,功能测试
TC-CM-007,切换到最热排序测试,当前显示最新内容,"1. 点击""最热""按钮
2. 观察内容更新","1. ""最热""按钮变为选中状态
2. 页面内容按热度排序刷新",高,功能测试
TC-CM-008,切换回最新排序测试,当前显示最热内容,"1. 点击""最新""按钮
2. 观察内容更新","1. ""最新""按钮变为选中状态
2. 页面内容按时间排序刷新",高,功能测试
TC-CM-009,帖子列表展示测试-两列布局,进入社区动态页,"1. 观察帖子列表布局
2. 检查每个帖子卡片
3. 验证卡片信息完整性","1. 帖子以两列布局展示
2. 每个帖子卡片显示完整
3. 卡片图片和文字正常显示",高,功能测试
TC-CM-010,帖子图片展示测试,进入社区动态页,"1. 观察帖子图片显示
2. 检查图片加载状态
3. 验证图片质量","1. 帖子图片正常显示
2. 图片加载完成
3. 图片清晰，比例正确",中,UI测试
