用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-FUN-001,本地相册按钮点击,打开选择照片弹窗,"1. 点击""本地相册""按钮",1. 打开本地相册选择界面,高,无
TC-FUN-002,图公主相册按钮点击,打开选择照片弹窗,"1. 点击""图公主相册""按钮",1. 打开图公主相册选择界面,高,无
TC-FUN-003,云空间相册按钮点击,打开选择照片弹窗,"1. 点击""云空间相册""按钮",1. 打开云空间相册选择界面,高,无
TC-FUN-004,关闭按钮点击,打开选择照片弹窗,1. 点击右上角的 X 关闭按钮,"1. 选择照片弹窗关闭
2. 返回到拍立得主页面",高,无
TC-FUN-005,点击弹窗外部区域关闭,打开选择照片弹窗,1. 点击弹窗外部的灰色遮罩区域,"1. 选择照片弹窗关闭
2. 返回到拍立得主页面",中,无
TC-UI-001,弹窗标题检查,打开选择照片弹窗,"1. 检查弹窗标题文字
2. 检查标题字体
3. 检查标题颜色
4. 检查标题位置","1. 标题文字为""选择照片""
2. 标题字体符合设计
3. 标题颜色符合设计
4. 标题位于弹窗顶部居中",高,无
TC-UI-002,弹窗整体布局检查,打开选择照片弹窗,"1. 观察弹窗整体布局
2. 检查弹窗尺寸
3. 检查弹窗位置
4. 检查弹窗圆角","1. 弹窗布局整齐
2. 弹窗尺寸符合设计
3. 弹窗位于屏幕中央
4. 弹窗圆角符合设计",高,无
TC-UI-003,本地相册按钮检查,打开选择照片弹窗,"1. 检查按钮位置
2. 检查按钮文字
3. 检查按钮颜色
4. 检查按钮尺寸","1. 按钮位于弹窗顶部
2. 按钮文字为""本地相册""
3. 按钮颜色符合设计
4. 按钮尺寸符合设计",高,无
TC-UI-004,本地相册说明文字检查,打开选择照片弹窗,"1. 检查说明文字内容
2. 检查说明文字字体
3. 检查说明文字颜色
4. 检查说明文字位置","1. 说明文字为""用户手机本地相册""
2. 说明文字字体符合设计
3. 说明文字颜色符合设计
4. 说明文字位于按钮下方",中,无
TC-UI-005,图公主相册按钮检查,打开选择照片弹窗,"1. 检查按钮位置
2. 检查按钮文字
3. 检查按钮颜色
4. 检查按钮尺寸","1. 按钮位于本地相册下方
2. 按钮文字为""图公主相册""
3. 按钮颜色符合设计
4. 按钮尺寸符合设计",高,无
TC-UI-006,图公主相册说明文字检查,打开选择照片弹窗,"1. 检查说明文字内容
2. 检查说明文字字体
3. 检查说明文字颜色
4. 检查说明文字位置","1. 说明文字为""从已绑定的图公主设备中获取照片""
2. 说明文字字体符合设计
3. 说明文字颜色符合设计
4. 说明文字位于按钮下方",中,无
TC-UI-007,云空间相册按钮检查,打开选择照片弹窗,"1. 检查按钮位置
2. 检查按钮文字
3. 检查按钮颜色
4. 检查按钮尺寸","1. 按钮位于图公主相册下方
2. 按钮文字为""云空间相册""
3. 按钮颜色符合设计
4. 按钮尺寸符合设计",高,无
TC-UI-008,云空间相册说明文字检查,打开选择照片弹窗,"1. 检查说明文字内容
2. 检查说明文字字体
3. 检查说明文字颜色
4. 检查说明文字位置","1. 说明文字为""拍立得的云存储空间中获取照片""
2. 说明文字字体符合设计
3. 说明文字颜色符合设计
4. 说明文字位于按钮下方",中,无
TC-UI-009,关闭按钮检查,打开选择照片弹窗,"1. 检查关闭按钮位置
2. 检查关闭按钮图标
3. 检查关闭按钮尺寸
4. 检查关闭按钮样式","1. 关闭按钮位于弹窗右上角
2. 关闭按钮图标为 X
3. 关闭按钮尺寸符合设计
4. 关闭按钮样式符合设计",高,无
TC-UI-010,按钮间距检查,打开选择照片弹窗,"1. 检查本地相册与图公主相册间距
2. 检查图公主相册与云空间相册间距
3. 检查按钮与弹窗边缘间距","1. 按钮间距符合设计要求
2. 按钮与弹窗边缘间距符合设计要求",中,无
TC-UI-011,遮罩层检查,打开选择照片弹窗,"1. 观察遮罩层效果
2. 检查遮罩层颜色
3. 检查遮罩层透明度","1. 遮罩层显示在弹窗下方
2. 遮罩层颜色符合设计
3. 遮罩层透明度符合设计",中,无
TC-UI-012,颜色和样式检查,打开选择照片弹窗,"1. 观察整体颜色搭配
2. 检查按钮颜色一致性
3. 检查文字颜色一致性","1. 整体颜色搭配和谐
2. 按钮颜色统一一致
3. 文字颜色统一一致",中,无
TC-INT-001,按钮悬停效果,打开选择照片弹窗,"1. 鼠标悬停在""本地相册""按钮上
2. 鼠标悬停在""图公主相册""按钮上
3. 鼠标悬停在""云空间相册""按钮上","1. 本地相册按钮显示悬停效果
2. 图公主相册按钮显示悬停效果
3. 云空间相册按钮显示悬停效果",中,无
TC-INT-002,关闭按钮悬停效果,打开选择照片弹窗,1. 鼠标悬停在关闭按钮上,1. 关闭按钮显示悬停效果,中,无
