用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注,结果
TC_001,普通用户注册完成后获得基础权重,"新用户完成注册","1. 新用户完成注册流程
2. 验证用户等级和权重",用户获得普通用户等级，权重系数为1.0,P0,正向-用户等级体系,
TC_002,蓝V新锐创作者等级获取条件验证,"普通用户已发布原创作品","1. 用户发布3篇原创作品
2. 作品通过官方初审
3. 验证用户等级升级",用户升级为蓝V新锐创作者，权重系数变为2.0,P0,正向-蓝V升级条件,
TC_003,连续30天无互动自动降权,"蓝V用户","1. 蓝V用户连续30天无任何互动行为
2. 验证用户等级变化",用户自动降级为普通用户，权重系数降为1.0,P0,正向-蓝V降权机制,
TC_004,黄V资深创作者等级获取,"蓝V用户","1. 蓝V用户累计获得"首页精选"≥3次
2. 验证用户等级升级",用户升级为黄V资深创作者，权重系数变为5.0,P0,正向-黄V升级条件,
TC_005,黄V违规一次取消资格,"黄V用户","1. 黄V用户发生1次违规行为
2. 验证用户等级变化",用户立即取消黄V资格，降为普通用户,P0,反向-黄V降权机制,
TC_006,金V专家评审团等级获取,"行业大牛或官方特邀","1. 行业大牛实名/职务认证 或 官方定向特邀
2. 验证用户等级",用户获得金V专家评审团等级，权重系数变为10.0,P0,正向-金V获取条件,
TC_007,金V等级终身制验证,"金V用户","1. 金V用户发生任意违规行为
2. 验证用户等级变化",金V等级不受影响，仅人工可褫夺,P1,正向-金V终身制,
TC_008,点赞互动权重计算,"普通用户对作品点赞","1. 普通用户（权重1.0）对作品点赞
2. 计算作品热力值变化",作品热力值增加 At×Wu = 1×1.0 = 1.0,P0,正向-热力值计算,
TC_009,评论互动权重计算,"蓝V用户对作品评论","1. 蓝V用户（权重2.0）对作品评论
2. 计算作品热力值变化",作品热力值增加 At×Wu = 2×2.0 = 4.0,P0,正向-热力值计算,
TC_010,收藏互动权重计算,"黄V用户收藏作品","1. 黄V用户（权重5.0）收藏作品
2. 计算作品热力值变化",作品热力值增加 At×Wu = 3×5.0 = 15.0,P0,正向-热力值计算,
TC_011,推荐推优权重计算,"金V用户推荐作品","1. 金V用户（权重10.0）对蓝V作品推荐
2. 计算作品热力值变化",作品热力值爆发式增加 At×Wu = 10×10.0 = 100.0,P0,正向-推荐权重计算,
TC_012,普通用户推荐权限限制,"普通用户","1. 普通用户尝试对作品进行推荐推优
2. 观察系统响应",系统拒绝操作，提示"仅蓝V及以上用户可用推荐功能",P0,反向-推荐权限限制,
TC_013,时间衰减因子生效验证,"发布较久的作品","1. 作品发布后经过一定时间
2. 验证时间衰减因子G(t)对热力值的影响",新发布内容热力值高，老旧内容自然下沉,P0,正向-时间衰减机制,
TC_014,防刷机制惩罚系数触发,"单设备高频点赞行为","1. 检测到单设备短时间内对多作品高频点赞
2. 验证惩罚系数P(s)变化",惩罚系数降为极低值（如0.1），热力值计算受惩罚,P0,正向-防刷机制,
TC_015,违规内容惩罚系数触发,"内容被判定违规","1. 作品被官方判定违规
2. 验证惩罚系数P(s)变化",惩罚系数降为极低值，作品曝光受限,P0,正向-违规惩罚,
TC_016,普通用户点赞功能,"任意登录用户","1. 普通用户对任意作品点赞
2. 验证功能正常",点赞成功，作品热力值增加，通知发送,P0,正向-点赞功能,
TC_017,普通用户收藏功能,"任意登录用户","1. 普通用户对任意作品收藏
2. 验证功能正常",收藏成功，作品热力值增加，通知发送,P0,正向-收藏功能,
TC_018,用户发表评论功能,"任意登录用户","1. 用户对作品发表评论（文字+表情）
2. 验证评论成功",评论成功发布，显示在评论区，通知发送,P0,正向-评论功能,
TC_019,二级回复功能,"任意登录用户","1. 用户对已有评论进行二级回复（楼中楼）
2. 验证回复成功",二级回复成功，形成楼中楼结构,P0,正向-楼中楼功能,
TC_020,高等级用户评论置顶,"黄V或金V用户评论","1. 黄V或金V用户对作品发表评论
2. 验证评论排序位置",该评论被优先置顶显示,P0,正向-评论排序逻辑,
TC_021,推荐成功后UI动效,"蓝V用户推荐作品","1. 蓝V用户对作品执行推荐操作
2. 观察UI动效反馈",触发金色火苗动效效果,P0,正向-推荐动效,
