用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-FUN-001,手机号输入框输入,打开 lenmory 登录页面,1. 在手机号输入框中输入手机号,1. 输入框接受手机号输入,高,无
TC-FUN-002,获取验证码按钮点击,打开 lenmory 登录页面，输入有效手机号,"1. 输入有效手机号
2. 点击""获取验证码""按钮","1. 手机号输入框显示输入内容
2. 开始获取验证码，按钮状态变化",高,无
TC-FUN-003,验证码输入框输入,打开 lenmory 登录页面,1. 在验证码输入框中输入验证码,1. 输入框接受验证码输入,高,无
TC-FUN-004,协议同意复选框勾选,打开 lenmory 登录页面,1. 点击协议同意复选框,1. 复选框被勾选,高,无
TC-FUN-005,协议同意复选框取消,打开 lenmory 登录页面，已勾选协议,1. 再次点击协议同意复选框,1. 复选框取消勾选,中,无
TC-FUN-006,用户服务协议链接点击,打开 lenmory 登录页面,1. 点击"用户服务协议"链接,1. 跳转到用户服务协议页面,中,无
TC-FUN-007,隐私政策链接点击,打开 lenmory 登录页面,1. 点击"用户隐私政策"链接,1. 跳转到隐私政策页面,中,无
TC-FUN-008,儿童用户隐私政策链接点击,打开 lenmory 登录页面,1. 点击"儿童用户隐私政策"链接,1. 跳转到儿童用户隐私政策页面,中,无
TC-FUN-009,正常登录流程,打开 lenmory 登录页面,"1. 输入有效手机号
2. 输入有效验证码
3. 勾选协议同意
4. 点击""登录""按钮","1. 手机号输入成功
2. 验证码输入成功
3. 协议已勾选
4. 成功登录，跳转到首页",高,无
TC-FUN-010,未勾选协议登录,打开 lenmory 登录页面,"1. 输入有效手机号
2. 输入有效验证码
3. 不勾选协议
4. 点击""登录""按钮","1. 手机号输入成功
2. 验证码输入成功
3. 协议未勾选
4. 显示请先勾选协议提示",高,无
TC-UI-001,Logo 位置检查,打开 lenmory 登录页面,"1. 观察 Logo 在页面中的位置
2. 检查 Logo 对齐方式","1. Logo 位于页面顶部居中位置
2. Logo 水平居中对齐",高,无
TC-UI-002,Logo 尺寸检查,打开 lenmory 登录页面,"1. 观察 Logo 尺寸
2. 检查 Logo 图标和文字比例","1. Logo 尺寸符合设计要求
2. Logo 图标和文字比例协调",中,无
TC-UI-003,Logo 清晰度检查,打开 lenmory 登录页面,"1. 观察 Logo 图标
2. 观察 Logo 文字","1. Logo 图标显示清晰
2. Logo 文字显示清晰",中,无
TC-UI-004,手机号输入框位置检查,打开 lenmory 登录页面,"1. 观察手机号输入框位置
2. 检查输入框对齐方式","1. 输入框位于 Logo 下方
2. 输入框水平居中",高,无
TC-UI-005,手机号输入框占位符检查,打开 lenmory 登录页面,"1. 观察占位符文字内容
2. 检查占位符文字样式","1. 占位符文字为""请输入手机号码""
2. 占位符文字样式符合设计",中,无
TC-UI-006,验证码输入框位置检查,打开 lenmory 登录页面,"1. 观察验证码输入框位置
2. 检查输入框对齐方式","1. 输入框位于手机号输入框下方
2. 输入框水平居中",高,无
TC-UI-007,验证码输入框占位符检查,打开 lenmory 登录页面,"1. 观察占位符文字内容
2. 检查占位符文字样式","1. 占位符文字为""请输入验证码""
2. 占位符文字样式符合设计",中,无
TC-UI-008,获取验证码按钮检查,打开 lenmory 登录页面,"1. 观察按钮位置
2. 检查按钮文字
3. 检查按钮颜色","1. 按钮位于验证码输入框右侧
2. 按钮文字为""获取验证码""
3. 按钮颜色符合设计",高,无
TC-UI-009,协议区布局检查,打开 lenmory 登录页面,"1. 观察协议区布局
2. 检查复选框位置
3. 检查协议文字位置","1. 协议区布局整齐
2. 复选框位于左侧
3. 协议文字位于复选框右侧",高,无
TC-UI-010,协议文字内容检查,打开 lenmory 登录页面,1. 阅读协议文字内容,1. 协议文字内容正确，包含用户服务协议、用户隐私政策、儿童用户隐私政策,高,无
TC-UI-011,登录按钮检查,打开 lenmory 登录页面,"1. 观察登录按钮位置
2. 检查按钮文字
3. 检查按钮颜色和样式","1. 按钮位于协议区下方
2. 按钮文字为""登录""
3. 按钮颜色和样式符合设计",高,无
TC-UI-012,底部文字检查,打开 lenmory 登录页面,"1. 观察底部文字内容
2. 检查文字样式","1. 底部文字内容正确
2. 文字样式符合设计",中,无
TC-UI-013,整体页面布局检查,打开 lenmory 登录页面,"1. 观察整体页面布局
2. 检查元素间距
3. 检查页面背景","1. 整体布局整齐美观
2. 元素间距合理
3. 页面背景符合设计",高,无
TC-UI-014,颜色和样式检查,打开 lenmory 登录页面,"1. 观察整体颜色搭配
2. 检查按钮颜色
3. 检查文字颜色","1. 整体颜色搭配和谐
2. 按钮颜色符合设计
3. 文字颜色符合设计",中,无
TC-INT-001,手机号输入框焦点交互,打开 lenmory 登录页面,1. 点击手机号输入框,1. 输入框获得焦点，光标闪烁,高,无
TC-INT-002,验证码输入框焦点交互,打开 lenmory 登录页面,1. 点击验证码输入框,1. 输入框获得焦点，光标闪烁,高,无
TC-INT-003,获取验证码按钮悬停效果,打开 lenmory 登录页面,1. 鼠标悬停在"获取验证码"按钮上,1. 按钮显示悬停效果,中,无
TC-INT-004,登录按钮悬停效果,打开 lenmory 登录页面,1. 鼠标悬停在"登录"按钮上,1. 按钮显示悬停效果,中,无
TC-INT-005,登录按钮点击反馈,打开 lenmory 登录页面,1. 点击"登录"按钮,1. 按钮显示点击反馈,中,无
TC-INT-006,键盘输入交互,打开 lenmory 登录页面,"1. 使用键盘输入手机号
2. 按 Tab 键切换到验证码输入框
3. 使用键盘输入验证码","1. 键盘输入正常
2. Tab 键切换焦点正常
3. 验证码输入正常",中,无
TC-EDGE-001,空手机号输入,打开 lenmory 登录页面,"1. 不输入手机号
2. 点击""获取验证码""按钮","1. 手机号输入框为空
2. 显示请输入手机号提示",高,无
