用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-FUN-001,关闭按钮点击,打开设备控制弹窗,1. 点击右上角 X 关闭按钮,"1. 设备控制弹窗关闭
2. 返回到拍立得主页面",高,无
TC-FUN-002,点击弹窗外部区域关闭,打开设备控制弹窗,1. 点击弹窗外部的灰色遮罩区域,"1. 设备控制弹窗关闭
2. 返回到拍立得主页面",中,无
TC-FUN-003,蓝牙名称点击,打开设备控制弹窗,"1. 点击""蓝牙名称""选项",1. 跳转到蓝牙设备选择/管理页面,高,无
TC-FUN-004,声音开关打开,打开设备控制弹窗，声音开关关闭,1. 点击声音开关,"1. 声音开关打开
2. 开关状态显示为开启",高,无
TC-FUN-005,声音开关关闭,打开设备控制弹窗，声音开关打开,1. 点击声音开关,"1. 声音开关关闭
2. 开关状态显示为关闭",高,无
TC-FUN-006,音量大小点击,打开设备控制弹窗,"1. 点击""音量大小""选项","1. 跳转到音量设置页面
2. 可以调整音量",高,无
TC-FUN-007,照片管理点击,打开设备控制弹窗,"1. 点击""照片管理""选项","1. 跳转到照片管理页面
2. 可以管理照片",高,无
TC-FUN-008,闪光灯开关打开,打开设备控制弹窗，闪光灯开关关闭,1. 点击闪光灯开关,"1. 闪光灯开关打开
2. 开关状态显示为开启",高,无
TC-FUN-009,闪光灯开关关闭,打开设备控制弹窗，闪光灯开关打开,1. 点击闪光灯开关,"1. 闪光灯开关关闭
2. 开关状态显示为关闭",高,无
TC-FUN-010,滤镜管理点击,打开设备控制弹窗,"1. 点击""滤镜管理""选项","1. 跳转到滤镜管理页面
2. 可以选择滤镜",高,无
TC-FUN-011,完成设置按钮点击,打开设备控制弹窗，已修改设置,"1. 点击""完成设置""按钮","1. 保存所有设置
2. 关闭弹窗
3. 返回到拍立得主页面",高,无
TC-FUN-012,完成设置按钮点击（未修改）,打开设备控制弹窗，未修改设置,"1. 点击""完成设置""按钮","1. 关闭弹窗
2. 返回到拍立得主页面",中,无
TC-UI-001,弹窗标题检查,打开设备控制弹窗,"1. 检查弹窗标题文字
2. 检查标题字体
3. 检查标题颜色
4. 检查标题位置","1. 标题文字为""设备控制""
2. 标题字体符合设计
3. 标题颜色符合设计
4. 标题位于弹窗顶部居中",高,无
TC-UI-002,关闭按钮检查,打开设备控制弹窗,"1. 检查关闭按钮位置
2. 检查关闭按钮图标
3. 检查关闭按钮尺寸
4. 检查关闭按钮样式","1. 关闭按钮位于弹窗右上角
2. 关闭按钮图标为 X
3. 关闭按钮尺寸符合设计
4. 关闭按钮样式符合设计",高,无
TC-UI-003,蓝牙名称选项检查,打开设备控制弹窗,"1. 检查蓝牙名称标签
2. 检查蓝牙名称显示
3. 检查右侧箭头图标
4. 检查选项整体样式","1. 标签文字为""蓝牙名称""
2. 设备名称正确显示
3. 箭头图标显示正确
4. 选项样式符合设计",高,无
TC-UI-004,声音选项检查,打开设备控制弹窗,"1. 检查声音标签
2. 检查开关按钮位置
3. 检查开关按钮样式
4. 检查选项整体样式","1. 标签文字为""声音""
2. 开关按钮位于右侧
3. 开关按钮样式符合设计
4. 选项样式符合设计",高,无
TC-UI-005,声音开关开启状态检查,声音开关已开启,"1. 检查开关颜色
2. 检查开关位置","1. 开关颜色为开启状态颜色
2. 开关位置在右侧",中,无
TC-UI-006,声音开关关闭状态检查,声音开关已关闭,"1. 检查开关颜色
2. 检查开关位置","1. 开关颜色为关闭状态颜色
2. 开关位置在左侧",中,无
TC-UI-007,音量大小选项检查,打开设备控制弹窗,"1. 检查音量大小标签
2. 检查音量数值显示
3. 检查右侧箭头图标
4. 检查选项整体样式","1. 标签文字为""音量大小""
2. 音量数值正确显示
3. 箭头图标显示正确
4. 选项样式符合设计",高,无
TC-UI-008,照片管理选项检查,打开设备控制弹窗,"1. 检查照片管理标签
2. 检查照片数值显示
3. 检查右侧箭头图标
4. 检查选项整体样式","1. 标签文字为""照片管理""
2. 照片数值正确显示
3. 箭头图标显示正确
4. 选项样式符合设计",高,无
TC-UI-009,闪光灯选项检查,打开设备控制弹窗,"1. 检查闪光灯标签
2. 检查开关按钮位置
3. 检查开关按钮样式
4. 检查选项整体样式","1. 标签文字为""闪光灯""
2. 开关按钮位于右侧
3. 开关按钮样式符合设计
4. 选项样式符合设计",高,无
TC-UI-010,闪光灯开关开启状态检查,闪光灯开关已开启,"1. 检查开关颜色
2. 检查开关位置","1. 开关颜色为开启状态颜色
2. 开关位置在右侧",中,无
TC-UI-011,闪光灯开关关闭状态检查,闪光灯开关已关闭,"1. 检查开关颜色
2. 检查开关位置","1. 开关颜色为关闭状态颜色
2. 开关位置在左侧",中,无
TC-UI-012,滤镜管理选项检查,打开设备控制弹窗,"1. 检查滤镜管理标签
2. 检查滤镜名称显示
3. 检查右侧箭头图标
4. 检查选项整体样式","1. 标签文字为""滤镜管理""
2. 滤镜名称正确显示
3. 箭头图标显示正确
4. 选项样式符合设计",高,无
TC-UI-013,完成设置按钮检查,打开设备控制弹窗,"1. 检查按钮位置
2. 检查按钮文字
3. 检查按钮颜色
4. 检查按钮尺寸","1. 按钮位于弹窗底部
2. 按钮文字为""完成设置""
3. 按钮颜色为粉色
4. 按钮尺寸符合设计",高,无
