用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注,结果
TC_001,长按快门5秒正常触发重印完整流程,"设备空闲、有相纸、SD卡有历史照片","1. 确认设备处于完全空闲状态（无拍摄、无刷写、队列为空）
2. 确认有相纸且可刷写
3. 确认SD卡包含历史照片
4. 长按快门键并保持5秒",系统依次执行：检测相纸→检测SD卡→读取最新照片→裁剪→亮度对比度增强→送入队列，语音提示"开始打印上一张"，刷写完成后语音提示"打印完成",P0,核心正向happy path,
TC_002,长按快门4.9秒后释放无动作,"设备空闲、有相纸、SD卡有历史照片","1. 确认设备处于空闲状态
2. 长按快门键保持4.9秒后释放",系统无任何动作，保持空闲状态,P0,边界值-时长不足5秒不触发,
TC_003,长按快门刚好5秒临界触发,"设备空闲、有相纸、SD卡有历史照片","1. 确认设备满足所有触发条件
2. 长按快门键刚好满5秒（精确计时）",系统正常触发重印完整流程,P0,边界值-刚好达到5秒临界值,
TC_004,长按快门5.1秒触发,"设备空闲、有相纸、SD卡有历史照片","1. 确认设备满足所有触发条件
2. 长按快门键保持5.1秒",系统正常触发重印完整流程,P1,边界值-超过5秒,
TC_005,长按快门10秒超长按压触发,"设备空闲、有相纸、SD卡有历史照片","1. 确认设备满足所有触发条件
2. 长按快门键保持10秒",系统正常触发重印完整流程,P1,边界值-超长按压,
TC_006,短按快门键不足1秒不触发,设备空闲,"1. 确认设备处于空闲状态
2. 轻按快门键后立即释放（<1秒）",系统无任何动作，保持空闲状态,P0,反向-普通短按不触发,
TC_007,长按快门2-4秒之间释放不触发,设备空闲,"1. 确认设备处于空闲状态
2. 长按快门键保持2-4秒后释放",系统无任何动作，保持空闲状态,P1,反向-中间时长不触发,
TC_008,设备空闲状态定义验证,"设备空闲","1. 确认设备无任何图像采集
2. 确认设备无任何刷写任务执行
3. 确认打印队列为空
4. 长按快门5秒",系统正常触发,P0,正向-设备空闲定义验证,
TC_009,拍摄任务进行中长按快门不触发,正在进行拍摄任务,"1. 设备正在执行拍摄任务
2. 长按快门5秒",系统无任何动作，拍摄任务继续执行,P0,反向-拍摄中不可触发,
TC_010,刷写任务进行中长按快门不触发,正在执行刷写任务,"1. 设备正在执行刷写任务
2. 长按快门5秒",系统无任何动作，刷写任务继续执行,P0,反向-刷写中不可触发,
TC_011,打印队列非空时长按快门不触发,打印队列中存在待刷写任务,"1. 打印队列有任务排队
2. 长按快门5秒",系统无任何动作，队列任务继续执行,P0,反向-队列非空视为非空闲,
TC_012,有相纸时可正常触发重印,"有相纸且可刷写、设备空闲、有历史照片","1. 确认相纸可用
2. 长按快门5秒",系统触发重印上一张流程,P0,正向-相纸条件满足,
TC_013,无相纸时拒绝执行并语音提示,"无相纸、设备空闲、有历史照片","1. 确认无相纸
2. 长按快门5秒",系统拒绝执行，语音提示"无相纸"，不进入后续流程,P0,反向-无相纸异常,
TC_014,相纸在长按过程中被拔出终止流程,"设备空闲、有历史照片、长按过程中拔出相纸","1. 开始长按快门
2. 在5秒内拔出相纸",立即终止重印流程，语音提示"无相纸",P0,异常-动态相纸拔出,
TC_015,SD卡存在且有照片时正常触发,"SD卡存在、包含至少一张历史照片、设备空闲、有相纸","1. 确认SD卡有历史照片
2. 长按快门5秒",系统触发重印上一张流程,P0,正向-SD卡条件满足,
TC_016,无SD卡时长按快门不触发,"无SD卡、设备空闲、有相纸","1. 确认无SD卡
2. 长按快门5秒",系统无任何动作,P0,反向-SD卡缺失,
TC_017,SD卡无历史照片时拒绝执行,"SD卡存在但无历史照片、设备空闲、有相纸","1. 确认SD卡无照片
2. 长按快门5秒",系统拒绝执行，语音提示"无历史照片",P0,反向-无历史照片,
TC_018,历史照片文件损坏时处理,"SD卡有照片但文件损坏、设备空闲、有相纸","1. 确保历史照片文件损坏
2. 长按快门5秒",系统检测到无可用照片，不触发重印,P1,异常-文件损坏,
TC_019,读取最新一张照片验证,"SD卡有多个历史照片","1. 长按快门5秒
2. 验证读取的是最新拍摄的照片（非最早或中间照片）",系统读取的是SD卡中最近一次拍摄并保存的图像,P0,正向-读取最新照片验证,
TC_020,执行裁剪匹配相纸比例验证,"有相纸、有历史照片","1. 长按快门5秒
2. 观察裁剪效果",系统自动裁剪图像以匹配相纸比例,P0,正向-图像处理裁剪步骤,
TC_021,执行亮度对比度增强验证,"有相纸、有历史照片","1. 长按快门5秒
2. 观察增强效果",系统执行亮度/对比度增强后送入刷写队列,P0,正向-图像处理增强步骤,
TC_022,送入队列后语音提示开始打印,"有相纸、有历史照片、设备空闲","1. 长按快门5秒
2. 观察语音提示时机",送入刷写队列后立即语音提示"开始打印上一张",P0,正向-提示时机验证,
TC_023,刷写完成后语音提示打印完成,重印任务开始执行,"1. 重印任务执行中
2. 等待刷写完成",刷写完成后语音提示"打印完成",P0,正向-完成提示验证,
TC_024,重印任务加入队列末尾验证,"设备空闲、有相纸、有历史照片、队列中有待执行任务","1. 确认队列有等待任务
2. 长按快门5秒
3. 观察任务排队位置",重印任务自动加入队列末尾，遵循现有排队逻辑,P1,场景-队列协同,
TC_025,长按过程中新拍摄任务抢占,"设备空闲、长按过程中有新任务","1. 开始长按快门
2. 在5秒内新发起拍摄任务",不触发重印，新任务获得执行权,P0,异常-任务抢占,
TC_026,长按过程中设备进入非空闲状态,"设备空闲、长按过程中系统变为非空闲","1. 开始长按快门
2. 在5秒内系统状态改变（收到新任务）",不触发重印，保持新的非空闲状态,P1,异常-状态变更,
TC_027,与正常拍摄功能协同验证,"设备空闲状态切换","1. 正常拍摄任务执行中，长按快门不触发
2. 拍摄完成后设备空闲，长按快门触发",拍摄中不触发，拍摄完成后空闲时可触发,P1,协同-拍摄功能,
TC_028,与无相纸锁定功能协同验证,无相纸锁定状态,"1. 确认无相纸锁定
2. 长按快门5秒",不可触发，语音提示"无相纸",P0,协同-锁定限制,
TC_029,长按未满5秒释放无动作,设备空闲,"1. 长按快门键
2. 在未达到5秒时释放",系统无任何动作，保持空闲状态,P0,边界-时长边界,
TC_030,队列为空时触发立即执行,队列为空,"设备空闲时触发重印",重印任务立即执行,P1,边界-队列空,
TC_031,队列非空时触发排在末位,队列有任务,"设备空闲时触发重印",重印任务排在末位,P1,边界-队列非空,
TC_032,所有触发条件均满足时正常触发,"设备空闲、有相纸、SD卡有历史照片","1. 确认同时满足所有触发条件
2. 长按快门5秒",系统完整执行重印流程,P0,正向-触发条件组合验证,
