用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-FUN-001,返回按钮点击,打开蓝牙配网页面,1. 点击左上角返回按钮,1. 返回到上一页,高,无
TC-FUN-002,开始扫描设备按钮点击,打开蓝牙配网页面,"1. 点击""开始扫描设备""按钮","1. 按钮状态变化
2. 开始扫描蓝牙设备
3. 扫描动画开始播放",高,无
TC-FUN-003,扫描过程中按钮状态,正在扫描设备,"1. 观察按钮状态
2. 观察按钮文字","1. 按钮显示扫描中状态
2. 按钮文字变为""扫描中...""或类似提示",高,无
TC-FUN-004,扫描完成显示设备列表,扫描完成,1. 观察页面变化,"1. 显示扫描到的设备列表
2. 扫描动画停止",高,无
TC-FUN-005,扫描到设备后点击连接,扫描完成，显示设备列表,1. 点击某个扫描到的设备,"1. 开始连接该设备
2. 显示连接状态",高,无
TC-FUN-006,配对成功页面显示,设备连接成功,1. 观察页面变化,"1. 显示配对成功图标
2. 显示""配对成功""文字
3. 显示设备信息",高,无
TC-FUN-007,配对成功后开始打印照片按钮点击,设备配对成功,"1. 点击""开始打印照片""按钮","1. 跳转到打印照片页面
2. 开始照片打印流程",高,无
TC-FUN-008,断开连接按钮点击,设备配对成功,"1. 点击""断开连接""按钮","1. 断开设备连接
2. 返回到扫描页面",高,无
TC-FUN-009,设备信息显示检查,设备配对成功,"1. 检查设备名称显示
2. 检查连接状态显示
3. 检查型号强度显示
4. 检查固件版本显示","1. 设备名称正确显示
2. 连接状态正确显示
3. 型号强度正确显示
4. 固件版本正确显示",高,无
TC-UI-001,扫描页面标题检查,打开蓝牙配网页面,"1. 检查页面标题文字
2. 检查标题字体
3. 检查标题颜色
4. 检查标题位置","1. 标题文字为""蓝牙配网""
2. 标题字体符合设计
3. 标题颜色符合设计
4. 标题位于页面顶部居中",高,无
TC-UI-002,返回按钮检查,打开蓝牙配网页面,"1. 检查返回按钮位置
2. 检查返回按钮图标
3. 检查返回按钮尺寸
4. 检查返回按钮样式","1. 返回按钮位于页面左上角
2. 返回按钮图标正确
3. 返回按钮尺寸符合设计
4. 返回按钮样式符合设计",高,无
TC-UI-003,准备工作步骤检查,打开蓝牙配网页面,"1. 检查步骤编号
2. 检查步骤标题
3. 检查步骤说明文字
4. 检查步骤区域样式","1. 步骤编号为""1""
2. 步骤标题为""准备工作""
3. 步骤说明文字正确
4. 步骤区域样式符合设计",高,无
TC-UI-004,扫描连接步骤检查,打开蓝牙配网页面,"1. 检查步骤编号
2. 检查步骤标题
3. 检查步骤说明文字
4. 检查步骤区域样式","1. 步骤编号为""2""
2. 步骤标题为""扫描连接""
3. 步骤说明文字正确
4. 步骤区域样式符合设计",高,无
TC-UI-005,蓝牙图标检查,打开蓝牙配网页面,"1. 检查蓝牙图标位置
2. 检查蓝牙图标样式
3. 检查蓝牙图标颜色
4. 检查蓝牙图标尺寸","1. 蓝牙图标位于页面中央
2. 蓝牙图标样式符合设计
3. 蓝牙图标颜色符合设计
4. 蓝牙图标尺寸符合设计",高,无
TC-UI-006,扫描动画区域检查,打开蓝牙配网页面,"1. 检查扫描动画区域位置
2. 检查扫描动画区域尺寸
3. 检查扫描动画区域样式","1. 扫描动画区域位于页面中央
2. 扫描动画区域尺寸符合设计
3. 扫描动画区域样式符合设计",中,无
TC-UI-007,开始扫描设备按钮检查,打开蓝牙配网页面,"1. 检查按钮位置
2. 检查按钮文字
3. 检查按钮图标
4. 检查按钮颜色
5. 检查按钮尺寸","1. 按钮位于页面底部
2. 按钮文字为""开始扫描设备""
3. 按钮图标正确
4. 按钮颜色符合设计
5. 按钮尺寸符合设计",高,无
TC-UI-008,配对成功图标检查,设备配对成功,"1. 检查配对成功图标位置
2. 检查配对成功图标样式
3. 检查配对成功图标颜色
4. 检查配对成功文字","1. 图标位于页面中央
2. 图标样式符合设计
3. 图标颜色为绿色
4. 文字为""配对成功""",高,无
