用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-FUN-001,社区动态标签切换,打开拍立得页面,"1. 查看社区动态
2. 点击""我的帖子""标签
3. 点击""我的收藏""标签","1. 默认展示社区动态内容
2. 切换到我的帖子内容
3. 切换到我的收藏",高,无
TC-FUN-002,帖子点击查看详情,打开社区动态页面,1. 点击任意一个帖子,1. 打开该帖子的详情页面,高,无
TC-FUN-003,点赞按钮点击,打开社区动态页面,1. 点击某个帖子的点赞按钮,"1. 点赞按钮状态变化
2. 点赞数增加",高,无
TC-FUN-004,取消点赞,打开社区动态页面，已点赞某帖子,1. 再次点击该帖子的点赞按钮,"1. 点赞按钮状态恢复
2. 点赞数减少",高,无
TC-FUN-005,帖子列表滚动,打开社区动态页面,"1. 向上滚动帖子列表
2. 向下滚动帖子列表","1. 列表向上滚动，加载更多内容
2. 列表向下滚动，查看之前内容",高,无
TC-FUN-006,底部云相册导航点击,打开社区动态页面,1. 点击底部"云相册",1. 切换到云相册页面,高,无
TC-FUN-007,底部拍立得导航点击,在其他页面,1. 点击底部"拍立得",1. 切换到拍立得页面,高,无
TC-FUN-008,底部我的导航点击,打开社区动态页面,1. 点击底部"我的",1. 切换到个人中心页面,高,无
TC-UI-001,顶部导航布局检查,打开社区动态页面,"1. 观察顶部导航布局
2. 检查标签顺序
3. 检查标签间距","1. 顶部导航布局整齐
2. 标签顺序正确
3. 标签间距合理",高,无
TC-UI-002,顶部导航标签样式检查,打开社区动态页面,"1. 检查选中标签样式
2. 检查未选中标签样式","1. 选中标签样式符合设计
2. 未选中标签样式符合设计",中,无
TC-UI-003,帖子卡片布局检查,打开社区动态页面,"1. 观察帖子卡片整体布局
2. 检查卡片间距
3. 检查卡片内元素排列","1. 帖子卡片布局整齐
2. 卡片间距合理
3. 卡片内元素排列正确",高,无
TC-UI-004,帖子图片检查,打开社区动态页面,"1. 观察帖子图片显示
2. 检查图片尺寸
3. 检查图片清晰度","1. 图片正常显示
2. 图片尺寸符合设计
3. 图片显示清晰",高,"分别选择以下图片进行测试：
1. 方形图片 (1:1)。
2. 横向宽图 (如 16:9)。
3. 竖向长图 (如 9:16)。
4. 分辨率小于480*800的图片。"
TC-UI-005,帖子标题检查,打开社区动态页面,"1. 检查帖子标题文字
2. 检查标题字体
3. 检查标题颜色","1. 标题文字显示正确
2. 标题字体符合设计
3. 标题颜色符合设计",中,无
TC-UI-006,作者头像检查,打开社区动态页面,"1. 观察作者头像位置
2. 检查头像尺寸
3. 检查头像样式","1. 头像位置正确
2. 头像尺寸符合设计
3. 头像样式符合设计",中,无
TC-UI-007,作者名称检查,打开社区动态页面,"1. 检查作者名称文字
2. 检查名称字体
3. 检查名称颜色","1. 作者名称显示正确
2. 名称字体符合设计
3. 名称颜色符合设计",中,无
TC-UI-008,点赞按钮检查,打开社区动态页面,"1. 观察点赞按钮位置
2. 检查点赞按钮图标
3. 检查点赞按钮样式","1. 点赞按钮位置正确
2. 点赞图标显示正确
3. 点赞按钮样式符合设计",高,无
TC-UI-009,点赞数显示检查,打开社区动态页面,"1. 检查点赞数文字
2. 检查点赞数字体
3. 检查点赞数颜色","1. 点赞数显示正确
2. 点赞数字体符合设计
3. 点赞数颜色符合设计",中,无
TC-UI-010,底部导航布局检查,打开社区动态页面,"1. 观察底部导航布局
2. 检查导航项顺序
3. 检查导航项间距","1. 底部导航布局整齐
2. 导航项顺序正确
3. 导航项间距合理",高,无
TC-UI-011,底部导航图标检查,打开社区动态页面,"1. 检查云相册图标
2. 检查拍立得图标
3. 检查我的图标","1. 云相册图标显示正确
2. 拍立得图标显示正确
3. 我的图标显示正确",中,无
TC-UI-012,底部导航文字检查,打开社区动态页面,"1. 检查云相册文字
2. 检查拍立得文字
3. 检查我的文字","1. 云相册文字正确
2. 拍立得文字正确
3. 我的文字正确",中,无
TC-UI-013,底部导航选中状态检查,打开社区动态页面,1. 检查拍立得导航项选中样式,1. 选中样式符合设计要求,中,无
TC-UI-014,整体页面布局检查,打开社区动态页面,"1. 观察整体页面布局
2. 检查各区域间距
3. 检查页面背景","1. 整体布局整齐美观
2. 各区域间距合理
3. 页面背景符合设计",高,无
TC-UI-015,颜色和样式检查,打开社区动态页面,"1. 观察整体颜色搭配
2. 检查按钮颜色
3. 检查文字颜色","1. 整体颜色搭配和谐
2. 按钮颜色符合设计
3. 文字颜色符合设计",中,无
TC-INT-001,上拉加载更多,打开社区动态页面,1. 滚动到帖子列表底部,"1. 触发加载更多
2. 加载更多帖子",高,无
TC-EDGE-001,空帖子列表显示,用户没有任何帖子,1. 打开我的帖子页面,1. 显示空状态提示,中,无
TC-EDGE-002,帖子图片加载失败,网络异常,1. 打开社区动态页面,1. 图片位置显示加载失败占位图,中,无
TC-EDGE-003,大量点赞数显示,某帖子有大量点赞,1. 查看该帖子的点赞数,1. 点赞数正确显示（如 1.2w、10w+）,中,无
TC-EDGE-004,长标题截断显示,某帖子标题很长,1. 查看该帖子标题,"1. 标题超出部分截断显示
2. 显示省略号",中,无
TC-COMP-001,iPhone 设备测试,使用 iPhone 设备,"1. 在 iPhone 上打开社区动态页面
2. 检查页面显示
3. 测试滚动和点击","1. 页面正常显示
2. 布局适配正确
3. 交互功能正常",高,无
TC-COMP-002,Android 设备测试,使用 Android 设备,"1. 在 Android 上打开社区动态页面
2. 检查页面显示
3. 测试滚动和点击","1. 页面正常显示
2. 布局适配正确
3. 交互功能正常",高,无
TC-COMP-003,小屏幕设备测试,使用小屏幕手机,"1. 在小屏幕手机上打开社区动态页面
2. 检查页面显示","1. 页面正常显示
2. 无元素重叠",中,无
TC-COMP-004,大屏幕设备测试,使用大屏幕手机/平板,"1. 在大屏幕设备上打开社区动态页面
2. 检查页面显示","1. 页面正常显示
2. 布局适配正确",中,无
TC-COMP-005,横竖屏切换测试,使用支持横竖屏的设备,"1. 在竖屏模式下打开页面
2. 切换到横屏模式
3. 检查页面显示","1. 竖屏模式显示正常
2. 横屏模式显示正常
3. 布局正确适配",中,无
