用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-FUN-001,云相册主页下拉菜单打开,打开云相册主页,1. 点击右上角下拉箭头,"1. 下拉菜单展开
2. 显示选择、回收站、下载、上传选项",高,无
TC-FUN-002,云相册主页下拉菜单关闭,下拉菜单已展开,"1. 再次点击下拉箭头
2. 或点击菜单外部区域","1. 下拉菜单收起
2. 返回到主页显示",高,无
TC-FUN-003,点击选择进入选择模式,下拉菜单已展开,"1. 点击""选择""选项","1. 进入选择照片模式
2. 显示已选择0张照片
3. 显示取消、确定、全选、删除、下载按钮",高,无
TC-FUN-004,单张照片选中,在选择照片模式,1. 点击任意一张照片,"1. 照片显示选中状态（打勾）
2. 已选择数量增加1",高,无
TC-FUN-005,多张照片选中,在选择照片模式,"1. 点击第一张照片
2. 点击第二张照片
3. 点击第三张照片","1. 三张照片都显示选中状态
2. 已选择数量显示为3",高,无
TC-FUN-006,取消选中照片,已选中某张照片,1. 再次点击已选中的照片,"1. 照片取消选中状态
2. 已选择数量减少1",高,无
TC-FUN-007,全选照片,在选择照片模式，未选择任何照片,"1. 点击""全选""按钮","1. 所有照片显示选中状态
2. 已选择数量显示为总数",高,无
TC-FUN-008,取消全选,在选择照片模式，已全选所有照片,"1. 点击""全选""按钮","1. 所有照片取消选中状态
2. 已选择数量显示为0",高,无
TC-FUN-009,选择模式点击确定,在选择照片模式，已选中照片,"1. 点击""确定""按钮","1. 退出选择模式
2. 返回到云相册主页",高,无
TC-FUN-010,选择模式点击取消,在选择照片模式,"1. 点击""取消""按钮","1. 退出选择模式
2. 返回到云相册主页
3. 不保存选中状态",高,无
TC-FUN-011,删除选中照片,在选择照片模式，已选中照片,"1. 点击""删除""按钮","1. 显示删除确认提示
2. 或直接删除选中照片
3. 照片从列表中移除",高,需确认是否有确认提示
TC-FUN-012,下载选中照片,在选择照片模式，已选中照片,"1. 点击""下载""按钮","1. 开始下载选中照片
2. 显示下载进度",高,无
TC-FUN-013,点击回收站,下拉菜单已展开,"1. 点击""回收站""选项","1. 进入回收站页面
2. 显示回收站照片列表",高,无
TC-FUN-014,清空回收站确认,在回收站页面,"1. 点击""删除""/清空按钮
2. 观察确认弹窗","1. 显示清空回收站确认弹窗
2. 显示确认提示文字
3. 显示确定和取消按钮",高,无
TC-FUN-015,确认清空回收站,清空回收站确认弹窗已显示,"1. 点击""确定""按钮","1. 清空回收站所有照片
2. 关闭确认弹窗
3. 返回到回收站页面（无照片）",高,无
TC-FUN-016,取消清空回收站,清空回收站确认弹窗已显示,"1. 点击""取消""按钮","1. 关闭确认弹窗
2. 返回到回收站页面
3. 回收站照片保持不变",高,无
TC-FUN-017,回收站点击取消,在回收站页面,"1. 点击""取消""按钮","1. 退出回收站
2. 返回到云相册主页",中,无
TC-FUN-018,点击下载进入下载,下拉菜单已展开,"1. 点击""下载""选项","1. 进入下载流程
2. 显示下载界面",高,无
